ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
178059177,0,,,-9223372036854775808,,,,,0,12,0.0,47,275262925995895,28,24.5,18625.697265625,0.26298487186431885,0,0.0,0.0,1.57542003E9,,,,0,20.0,1,-5.199999809265137,1.57542003E9
178059178,0,,,-9223372036854775808,,,,,0,24,0.0,47,275262920160510,33,22.600000381469727,18053.330078125,0.32283055782318115,0,0.0,0.0,1.57542003E9,,,,0,18.399999618530273,1,-5.199999809265137,1.57542003E9
178059178,0,,,-9223372036854775808,,,,,0,25,0.0,47,275262921594265,51,18.600000381469727,18382.830078125,0.5406574010848999,0,0.0,0.0,1.57542003E9,,,,0,12.699999809265137,1,-5.199999809265137,1.57542003E9
178059178,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275262913062607,25,26.200000762939453,18593.435546875,0.2224990874528885,0,0.0,0.0,1.57542003E9,,,,0,20.5,6,-5.199999809265137,1.57542003E9
178059178,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275262912811600,31,23.5,17902.21484375,0.29218408465385437,0,0.0,0.0,1.57542003E9,,,,0,17.5,6,-5.199999809265137,1.57542003E9
178059178,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275262909918719,32,23.100000381469727,18636.265625,0.3052409589290619,0,0.0,0.0,1.57542003E9,,,,0,18.399999618530273,6,-5.199999809265137,1.57542003E9
178059178,0,,,-9223372036854775808,,,,,0,10,0.0,815,275248876267535,33,22.899999618530273,18609.95703125,0.3121001422405243,0,0.0,0.0,1.56109798E9,,,,0,18.799999237060547,5,-5.199999809265137,1.56109798E9
178059179,0,,,-9223372036854775808,,,,,0,7,0.0,815,275248874064099,32,23.200000762939453,18599.47265625,0.3018958866596222,0,0.0,0.0,1.56109798E9,,,,0,17.700000762939453,5,-5.199999809265137,1.56109798E9
178059179,0,,,-9223372036854775808,,,,,0,9,0.0,815,275248879307554,41,20.600000381469727,18260.146484375,0.4109138548374176,0,0.0,0.0,1.56109798E9,,,,0,17.5,5,-5.199999809265137,1.56109798E9
178059190,0,,,-9223372036854775808,,,,,0,12,0.0,47,275262925995895,28,24.5,18625.697265625,0.26298487186431885,0,0.0,0.0,1.57542003E9,,,,0,20.0,1,-5.199999809265137,1.57542003E9
178059191,0,,,-9223372036854775808,,,,,0,24,0.0,47,275262920160510,33,22.600000381469727,18053.330078125,0.32283055782318115,0,0.0,0.0,1.57542003E9,,,,0,18.399999618530273,1,-5.199999809265137,1.57542003E9
178059191,0,,,-9223372036854775808,,,,,0,25,0.0,47,275262921594265,51,18.600000381469727,18382.830078125,0.5406574010848999,0,0.0,0.0,1.57542003E9,,,,0,12.699999809265137,1,-5.199999809265137,1.57542003E9
178059191,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275262913062607,25,26.200000762939453,18593.435546875,0.2224990874528885,0,0.0,0.0,1.57542003E9,,,,0,20.5,6,-5.199999809265137,1.57542003E9
178059191,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275262912811600,31,23.5,17902.21484375,0.29218408465385437,0,0.0,0.0,1.57542003E9,,,,0,17.5,6,-5.199999809265137,1.57542003E9
178059191,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275262909918719,32,23.100000381469727,18636.265625,0.3052409589290619,0,0.0,0.0,1.57542003E9,,,,0,18.399999618530273,6,-5.199999809265137,1.57542003E9
178059191,0,,,-9223372036854775808,,,,,0,10,0.0,815,275248876267535,33,22.899999618530273,18609.95703125,0.3121001422405243,0,0.0,0.0,1.56109798E9,,,,0,18.799999237060547,5,-5.199999809265137,1.56109798E9
178059192,0,,,-9223372036854775808,,,,,0,7,0.0,815,275248874064099,32,23.200000762939453,18599.47265625,0.3018958866596222,0,0.0,0.0,1.56109798E9,,,,0,17.700000762939453,5,-5.199999809265137,1.56109798E9
178059192,0,,,-9223372036854775808,,,,,0,9,0.0,815,275248879307554,41,20.600000381469727,18260.146484375,0.4109138548374176,0,0.0,0.0,1.56109798E9,,,,0,17.5,5,-5.199999809265137,1.56109798E9
178060248,0,,,-9223372036854775808,,,,,0,12,0.0,47,275263925995123,28,24.5,18626.02734375,0.26298487186431885,0,0.0,0.0,1.57542003E9,,,,0,21.600000381469727,1,-5.199999809265137,1.57542003E9
178060248,0,,,-9223372036854775808,,,,,0,24,0.0,47,275263920161623,34,22.5,18055.125,0.3265306055545807,0,0.0,0.0,1.57542003E9,,,,0,17.299999237060547,1,-5.199999809265137,1.57542003E9
178060249,0,,,-9223372036854775808,,,,,0,25,0.0,47,275263921594336,51,18.5,18382.98046875,0.5486968159675598,0,0.0,0.0,1.57542003E9,,,,0,10.800000190734863,1,-5.199999809265137,1.57542003E9
178060249,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275263913061956,24,26.299999237060547,18591.8515625,0.22041483223438263,0,0.0,0.0,1.57542003E9,,,,0,21.5,6,-5.199999809265137,1.57542003E9
178060249,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275263912813216,31,23.5,17901.849609375,0.29218408465385437,0,0.0,0.0,1.57542003E9,,,,0,18.299999237060547,6,-5.199999809265137,1.57542003E9
178060250,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275263909917880,32,23.200000762939453,18636.05859375,0.3018958866596222,0,0.0,0.0,1.57542003E9,,,,0,17.299999237060547,6,-5.199999809265137,1.57542003E9
178060250,0,,,-9223372036854775808,,,,,0,10,0.0,815,275249876266767,33,22.899999618530273,18611.392578125,0.3121001422405243,0,0.0,0.0,1.56109798E9,,,,0,20.399999618530273,5,-5.199999809265137,1.56109798E9
178060251,0,,,-9223372036854775808,,,,,0,7,0.0,815,275249874063389,32,23.200000762939453,18600.421875,0.3018958866596222,0,0.0,0.0,1.56109798E9,,,,0,19.200000762939453,5,-5.199999809265137,1.56109798E9
178060264,0,,,-9223372036854775808,,,,,0,9,0.0,815,275249879307967,41,20.600000381469727,18260.6171875,0.4109138548374176,0,0.0,0.0,1.56109798E9,,,,0,16.5,5,-5.199999809265137,1.56109798E9
178060300,0,,,-9223372036854775808,,,,,0,12,0.0,47,275263925995123,28,24.5,18626.02734375,0.26298487186431885,0,0.0,0.0,1.57542003E9,,,,0,21.600000381469727,1,-5.199999809265137,1.57542003E9
